cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,winner,total_votes,totalspend,costvote
H0CA06121,2012,37805.44,12851.43,17520.26,37334.28,160052.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA,2,0,R,25635.0,0.0,91310.0,0.0,0,116945.0,265563.61,2.2708419342425925
H0CA07103,2010,1993.55,432.23,3218.08,3485.96,0.0,3207.31,3391.22,0.0,0.0,0.0,0.0,0.0,81662.12,CA,7,0,R,15245.0,0.0,56798.0,0.0,0,72043.0,97390.47,1.3518380689310552
H0CA08069,2010,489230.81,18690.13,1368216.2,219467.45,17075.76,176358.86,3297.67,0.0,0.0,0.0,750.0,0.0,1058.02,CA,8,0,R,7013.0,0.0,31771.0,0.0,0,38784.0,2294144.9,59.151838386963696
H0CA08069,2012,129395.44,13160.82,435221.12,56240.67,6885.0,1201.38,0.0,0.0,0.0,0.0,0.0,750.0,0.0,CA,12,0,R,16206.0,0.0,44478.0,0.0,0,60684.0,642854.43,10.593474886296224
H0CA08069,2014,86402.08,9322.67,508830.25,21855.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3431.45,CA,12,0,R,12922.0,0.0,32197.0,0.0,0,45119.0,629841.95,13.95957246392872
H0CA10073,2014,186086.82,10053.98,16226.02,186230.46,15000.0,5649.19,1245.72,0.0,0.0,0.0,0.0,0.0,11317.88,CA,11,0,D,59605.0,0.0,117502.0,0.0,1,177107.0,431810.07,2.4381310168429255
H0CA10123,2010,798726.34,15612.57,60594.4,1213543.99,104386.3,568733.99,19296.38,0.0,0.0,0.0,0.0,0.0,254649.14,CA,11,0,R,24626.0,0.0,112703.0,0.0,0,137329.0,3035543.11,22.104166709143733
H0CA10149,2010,168719.03,204.71,6574.87,780.0,29000.0,147546.62,2555.78,0.0,0.0,0.0,0.0,0.0,1265761.24,CA,10,1,D,62138.0,0.0,137578.0,0.0,1,199716.0,1621142.25,8.117237727573153
H0CA10149,2012,1061.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034684.89,CA,3,1,D,59546.0,0.0,126882.0,0.0,1,186428.0,2035746.05,10.91974408350677
H0CA10180,2010,283.31,100.87,26.44,35.0,0.0,357.64,0.0,0.0,0.0,0.0,0.0,0.0,25366.0,CA,10,0,R,25331.0,0.0,88512.0,0.0,0,113843.0,26169.26,0.22987148968316012
