state_abbreviation,district,fec_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,year,blank,total_votes
CA,28,H2CA28105,,LBT,217,,9339,,,2004,,9556
CA,28,,,LBT,217,,,,,2004,,217
CA,28,,,,52776,,162510,,,2004,,215286
CA,29,H0CA27085,(I),D,40699,,133670,,W,2004,,174369
CA,29,,,D,40699,,,,,2004,,40699
CA,29,H4CA29091,,R,17077,,62871,,,2004,,79948
CA,29,H4CA29109,,R,8238,,,,,2004,,8238
CA,29,H4CA27095,,R,3864,,,,,2004,,3864
CA,29,,,R,29179,,,,,2004,,29179
CA,29,H4CA29117,,GRN,421,,5715,,,2004,,6136
CA,29,,,GRN,421,,,,,2004,,421
CA,29,H6CA25086,,LBT,289,,4570,,,2004,,4859
CA,29,,,LBT,289,,,,,2004,,289
CA,29,,,,70588,,206832,,,2004,,277420
CA,30,H6CA24048,(I),D,78362,,216682,,W,2004,,295044
CA,30,,,D,78362,,,,,2004,,78362
CA,30,H4CA30073,,R,29018,,87465,,,2004,,116483
CA,30,,,R,29018,,,,,2004,,29018
CA,30,,,,107380,,304147,,,2004,,411527
CA,31,H2CA30143,(I),D,26308,,89363,,W,2004,,115671
CA,31,H0CA32085,,D,3103,,,,,2004,,3103
CA,31,,,D,29411,,,,,2004,,29411
CA,31,H2CA31083,,R,5634,,22048,,,2004,,27682
CA,31,,,R,5634,,,,,2004,,5634
CA,31,,,,35045,,111411,,,2004,,146456
CA,H,,,,4720340,,11623753,,,2004,,16344093
CA,32,H0CA31087,(I),D,28948,,119144,,W,2004,,148092
CA,32,,,D,28948,,,,,2004,,28948
CA,32,H4CA32095,,LBT,91,,21002,,,2004,,21093
CA,32,,,LBT,91,,,,,2004,,91
CA,32,,,,29039,,140146,,,2004,,169185
CA,33,H2CA32099,(I),D,53376,,166801,,W,2004,,220177
CA,33,,,D,53376,,,,,2004,,53376
CA,33,H4CA33077,,LBT,178,,21513,,,2004,,21691
CA,33,,,LBT,178,,,,,2004,,178
CA,33,,,,53554,,188314,,,2004,,241868
CA,34,H2CA33048,(I),D,22593,,82282,,W,2004,,104875
CA,34,,,D,22593,,,,,2004,,22593
CA,34,H8CA33235,,R,7683,,28175,,,2004,,35858
CA,34,,,R,7683,,,,,2004,,7683
CA,34,,,,30276,,110457,,,2004,,140733
CA,35,H4CA23011,(I),D,41452,,125949,,W,2004,,167401
CA,35,,,D,41452,,,,,2004,,41452
CA,35,H2CA35092,,R,7573,,23591,,,2004,,31164
CA,35,,,R,7573,,,,,2004,,7573
CA,35,H6CA35093,,AIP,300,,3440,,,2004,,3740
CA,35,,,AIP,300,,,,,2004,,300
CA,35,H2CA33113,,LBT,96,,3427,,,2004,,3523
CA,35,,,LBT,96,,,,,2004,,96
CA,35,,,,49421,,156407,,,2004,,205828
CA,36,H2CA27107,(I),D,48524,,151208,,W,2004,,199732
CA,36,,,D,48524,,,,,2004,,48524
CA,36,H4CA36096,,R,13081,,81666,,,2004,,94747
CA,36,H2CA36215,,R,9430,,,,,2004,,9430
CA,36,H4CA36088,,R,7966,,,,,2004,,7966
CA,36,,,R,30477,,,,,2004,,30477
CA,36,H4CA36112,,PFP,124,,6105,,,2004,,6229
CA,36,,,PFP,124,,,,,2004,,124
CA,36,H4CA36104,,LBT,456,,5065,,,2004,,5521
CA,36,,,LBT,456,,,,,2004,,456
CA,36,,,,79581,,244044,,,2004,,323625
CA,37,H6CA37222,(I),D,27047,,118823,,W,2004,,145870
CA,37,H4CA37060,,D,7800,,,,,2004,,7800
CA,37,H2CA38062,,D,6802,,,,,2004,,6802
CA,37,,,D,41649,,,,,2004,,41649
CA,37,H0CA37118,,R,10172,,31960,,,2004,,42132
CA,37,,,R,10172,,,,,2004,,10172
CA,37,H2CA37254,,LBT,180,,7535,,,2004,,7715
CA,37,,,LBT,180,,,,,2004,,180
CA,37,,,,52001,,158318,,,2004,,210319
CA,38,H8CA34068,(I),D,26632,,116851,,W,2004,,143483
CA,38,H4CA38084,,D,7122,,,,,2004,,7122
CA,38,,,D,33754,,,,,2004,,33754
CA,38,,,,33754,,116851,,,2004,,150605
CA,39,H2CA39078,(I),D,30424,,100132,,W,2004,,130556
CA,39,,,D,30424,,,,,2004,,30424
CA,39,H2CA39102,,R,18227,,64832,,,2004,,83059
CA,39,,,R,18227,,,,,2004,,18227
CA,39,,,,48651,,164964,,,2004,,213615
CA,40,H6CA39020,(I),R,61464,,147617,,W,2004,,209081
CA,40,,,R,61464,,,,,2004,,61464
CA,40,H4CA40072,,D,17294,,69684,,,2004,,86978
CA,40,H8CA47011,,D,16144,,,,,2004,,16144
CA,40,,,D,33438,,,,,2004,,33438
CA,40,,,,94902,,217301,,,2004,,312203
CA,41,H8CA37079,(I),R,63453,,181605,,W,2004,,245058
CA,41,,,R,63453,,,,,2004,,63453
CA,41,H4CA41112,,LBT,424,,37332,,,2004,,37756
CA,41,,,LBT,424,,,,,2004,,424
