cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes,totalspend,costpervote
H4MO08162,2014,557747.43,135412.28,238202.84,432577.17,55400.0,82018.08,20895.13,0.0,0.0,0.0,3025.0,0.0,21366.89,MO,8,1,R,66511.0,0.0,106124.0,0.0,1,172635.0,1546644.8199999998,8.9590455006227
H4MO08212,2014,87228.06,0.0,7505.0,44525.59,0.0,11735.83,0.0,0.0,0.0,0.0,0.0,0.0,26702.25,MO,8,0,D,28303.0,0.0,38721.0,0.0,0,67024.0,177696.72999999998,2.6512403019813795
H4MO08220,2014,1872.13,0.0,436.31,1247.2,0.0,1668.46,0.0,0.0,0.0,0.0,0.0,0.0,260.0,MO,8,0,IND,0.0,0.0,6821.0,0.0,0,6821.0,5484.1,0.8040023456971119
H4MO09046,2004,697759.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34100.0,0.0,83921.1,MO,9,1,R,62956.0,0.0,193429.0,0.0,1,256385.0,815780.62,3.181857830996353
H4MO09046,2006,192103.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7217.36,0.0,764788.26,MO,9,1,REP,36026.0,0.0,149114.0,0.0,1,185140.0,964109.44,5.207461596629577
H4MO09053,2004,29476.44,1055.21,2190.5,22222.82,0.0,12407.99,458.12,0.0,0.0,0.0,0.0,0.0,49782.88,MO,9,0,D,78059.0,0.0,101343.0,0.0,0,179402.0,117593.95999999999,0.6554774194267622
H4MO09053,2006,1392.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,1392.27,
H4MS01078,2004,92673.67,26410.46,2697.87,1230.0,0.0,1392.22,39103.95,0.0,0.0,0.0,0.0,1850.0,97619.45,MS,1,1,R,0.0,0.0,219328.0,0.0,0,219328.0,262977.62,1.1990152648088708
H4MS01078,2008,791.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156029.12,,,,,0.0,0.0,0.0,0.0,,,156820.29,
H4MS01110,2014,2127.3,1257.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MS,1,0,D,9741.0,0.0,43713.0,0.0,0,53454.0,3384.71,0.06332005088487297
H4MS02167,2004,22135.79,2747.4,0.0,4443.5,0.0,13681.97,600.0,0.0,0.0,0.0,0.0,0.0,8966.76,MS,2,0,R,1319.0,0.0,0.0,0.0,0,1319.0,52575.420000000006,39.8600606520091
H4MS04064,2004,23375.0,430.0,2694.0,6364.66,10000.0,11907.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MS,4,0,R,5991.0,0.0,96740.0,0.0,0,102731.0,54770.740000000005,0.5331471512980503
H4MS04064,2006,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,1420.0,
H4MT00043,2004,59076.44,2413.56,13321.11,21665.92,3500.0,7293.54,150.46,0.0,0.0,0.0,0.0,0.0,5785.61,MT,0,0,D,72001.0,0.0,145606.0,0.0,0,217607.0,113206.64,0.5202343674606056
H4MT00043,2006,4317.06,31.35,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,4898.410000000001,
H4MT01041,2014,25271.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4644783.990000001,MT,0,0,R,43766.0,0.0,203871.0,0.0,1,247637.0,4670055.680000002,18.858473006860855
H4NC01095,2014,1853.68,542.69,0.0,4251.04,0.0,2850.97,0.0,0.0,0.0,0.0,0.0,0.0,7798.42,NC,1,0,R,5519.0,0.0,55990.0,0.0,0,61509.0,17296.8,0.28120762815197775
