cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
H0CO06077,2010,9800.0,,22.73,,,515.01,,,,,,18.18,137429.02
H0CO06085,2010,2809.9,285.47,3100.19,969.28,,2474.45,689.58,,,,,,8305.0
H0CO07067,2010,119633.9,,2787.21,53654.3,15861.0,2227.98,8818.52,,,,,,6238.4
H0CT01068,2010,3663.64,179.05,1473.12,13100.0,,3829.69,1246.09,,,,,,80.0
H0CT01076,2010,26900.07,1900.0,9645.24,219300.58,1500.0,46681.8,2152.02,,,,,,422.7
H0CT02124,2004,123162.88,319.0,59598.31,,,,,,,,,,2413240.62
H0CT02124,2006,13250.130000000001,15000.0,74333.78,,,,,,,,,,3224979.37
H0CT02124,2008,24538.74,,,,,,,,,,,,55878.22
H0CT02132,2010,42654.48,600.87,28495.49,13216.85,3000.0,,,,,,,,6614.55
H0CT02140,2010,8709.1,3141.49,10158.55,20741.88,,205.93,201.68,,,,,,13197.68
H0CT02140,2012,6262.58,7183.68,4129.27,2957.4,,510.0,381.6,,,,,,5742.48
H0CT02165,2010,3315.0,,,4265.52,,,,,,,,,3086.05
H0CT02173,2010,81239.64,,37369.99,95583.0,13933.62,24171.09,1355.93,,,,,,13423.29
H0CT03072,2010,262063.55,1674.08,119849.72,9662.0,,10885.83,,,,,,,357158.35
H0CT03072,2012,648424.77,7990.2,30387.12,3149.62,,545.2,3221.2,,,,15000.0,,13245.02
H0CT03072,2014,144745.77,,,,,,,,,,,,520731.87
H0CT03106,2010,18455.74,,2504.19,112627.37,3000.0,2417.78,245.0,,,,,,14347.64
H0CT04138,2010,27834.91,4682.91,1960.25,12027.09,,31054.64,9269.63,,,,,,20780.86
H0CT04146,2010,177538.21,3520.84,95151.49,503487.48,29000.0,47069.64,6637.64,,,,250.0,,1091310.68
H0CT04146,2012,14827.11,,2334.09,,,,2823.42,,,,,,
H0CT04161,2010,11586.0,,1255.25,10194.5,,4474.5,397.5,,,,,,34828.97
H0CT05143,2010,4156.3,,,,,591.84,,,,,,,27303.0
H0CT05150,2010,475446.13,33584.74,26134.5,775603.55,92860.0,51927.42,116129.5,,,,2035.0,,1350.0
H0CT05150,2012,714422.1,52262.55,31686.49,776679.29,31120.0,121868.56,68826.05,,,,6200.0,,1614.68
H0CT05150,2014,751526.47,18432.4,67055.51,722819.66,49300.0,41080.56,82759.49,,,,,,6.11
H0DC00157,2010,4771.72,12.71,15193.54,,,5846.59,696.0,,,,,,
H0DC00199,2010,8380.02,271.56,,57353.65,,,,,,,,,2750.0
H0DC00199,2012,75.7,,,,,,,,,,,,18.0
H0DE00126,2010,1724.5,,,1795.98,,2018.93,676.29,,,,,,
H0DE00126,2012,131.74,,,,,,,,,,,,
H0DE00142,2010,268097.35,493.79,900.0,438080.99,14000.0,35815.36,25786.21,,,,,,7339.06
H0DE01017,2010,43313.68,,1398.01,,,2576.84,512.5,,,,,,1990163.8
H0DE01017,2012,210358.57,4669.7,22912.17,83587.38,25700.0,24380.44,9716.18,,,,,,414403.02
H0DE01017,2014,320487.3,12309.17,25832.0,122672.0,25000.0,1546.0,2719.35,,,,,470.05,172422.67
H0FL00023,2010,10625.05,183.89,2755.84,11315.56,,,,,612.0,,,,1797.52
H0FL00023,2014,10538.0,,1414.16,4146.42,,,,,,,,,
H0FL02086,2010,156750.27,,3202.86,43243.2,500.0,18841.23,8273.95,,,,,,8512.83
H0FL02086,2012,13112.12,466.48,4100.0,11135.68,,,1744.5,,,,,,668501.29
H0FL02094,2010,12446.84,360.89,41.78,7728.91,,9057.78,614.23,,,,,,14058.12
H0FL02110,2010,310474.39,36365.7,52803.71,814123.71,,1006.3,27901.25,,,,,,211570.19
H0FL02110,2012,391529.03,69899.3,446524.64999999997,684398.72,1080.72,,32544.86,,,,,,69079.08
H0FL02110,2014,351467.08,177697.27,549934.8600000001,1769699.68,62500.0,,52595.32,,,,,,25172.67
H0FL02144,2010,16228.87,225.0,91601.21,28804.45,,,,,,,,,
H0FL02151,2010,19251.25,2596.02,10676.43,8356.42,,3700.22,,,1117.9,,,,2777.68
H0FL02151,2012,405.7,,,,,,,,,,,,2400.0
H0FL02177,2010,6960.0,,,,,427.41,,,,,,,
H0FL03118,2010,27580.93,585.1,14315.16,7900.0,,4241.54,800.0,,,,,,4067.93
H0FL03134,2010,1813.38,84.93,454.33,7590.82,,500.0,,,,,537.4,,6695.89
H0FL03134,2012,3000.0,,,,,,,,,,,,
H0FL03142,2010,22856.58,,,4540.87,,,13839.25,,,,,,275.0
H0FL04066,2004,63446.09,42551.71,69552.13,,5800.0,,5431.22,,,,1000.0,,60041.61
H0FL04066,2006,71463.95,15062.97,104581.95,175017.09,11250.0,2604.32,14868.1,500000.0,,,173550.0,,48828.77
H0FL04066,2008,92113.23,,91878.46,246100.99,19350.0,2686.62,15012.69,,,,1030.0,,117364.03
H0FL04066,2010,87838.52,,189295.34,43253.27,10791.0,1454.08,11761.57,,,,9100.0,,102724.29
H0FL04066,2012,130071.28,,133153.75,49874.5,,,30916.64,,,,105250.0,,164759.98
H0FL04066,2014,355671.31,283.5,195618.65,662024.66,55803.18,123304.04,64928.65,,,,4350.0,,161491.35
H0FL04108,2010,7215.56,,107.0,3120.99,,271.88,400.0,,,,,,1213.51
H0FL05113,2010,51196.05,1805.15,10474.61,28759.9,12825.0,3402.25,470.0,,,,307.0,36.0,28140.51
H0FL05121,2010,18429.21,271.06,500.0,30702.35,,6577.49,3078.16,,,100.0,,,1280.18
H0FL05139,2012,107242.81,795.27,216953.59,33445.02,,5137.12,3302.0,,,,,,8306.49
H0FL05139,2014,66224.36,2094.56,81108.2,120752.28,,3011.5,3983.82,,,,4655.0,,
H0FL06061,2010,67006.7,16555.0,16866.63,20219.66,3500.0,1003.59,1153.47,,,,,1000.0,6778.39
H0FL06061,2012,4270.67,469.96,,700.0,,,,,,,,,24.6
H0FL06087,2010,12855.93,,2290.0,28917.76,,1661.16,300.0,,,,,,739.05
H0FL07077,2010,517.6,2458.06,,,,49.28,,,,,,,222035.15
H0FL08042,2008,10604.76,,9094.27,,,,,,,,7384.32,,1771549.67
H0FL08117,2010,37479.15,1435.44,,165473.2,320.78,17939.57,45712.74,,,,375.0,469.98,15870.37
H0FL08117,2012,1970.0,,,7342.27,,,91850.0,,,,,,
H0FL08125,2010,42820.86,4472.68,16693.7,4596.42,,1368.99,,,,,,1000.0,
H0FL08125,2012,12021.82,,,,,,1000.0,,,,,,
H0FL08125,2014,4797.15,518.75,,,,,,,,,,,6147.8
