state_abbreviation,district,cand_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,cycle,total_votes
CO,4,H4CO04041,0,R,12553.0,0.0,0.0,0.0,0,2004,12553
CO,4,H2CO04060,0,D,24894.0,0.0,136812.0,0.0,0,2004,161706
CO,4,H4CO04058,0,GRN,0.0,0.0,12739.0,0.0,0,2004,12739
CO,5,H6CO05076,1,R,52282.0,0.0,193333.0,0.0,1,2004,245615
CO,5,H4CO05022,0,R,9785.0,0.0,0.0,0.0,0,2004,9785
CO,5,H4CO05030,0,D,15763.0,0.0,74098.0,0.0,0,2004,89861
CO,5,H4CO05048,0,LBT,0.0,0.0,6627.0,0.0,0,2004,6627
CO,6,H8CO06054,1,R,58446.0,0.0,212778.0,0.0,1,2004,271224
CO,6,H4CO06061,0,D,23111.0,0.0,139870.0,0.0,0,2004,162981
CO,6,H4CO06020,0,LBT,0.0,0.0,3857.0,0.0,0,2004,3857
CO,6,H4CO06079,0,AMC,0.0,0.0,1236.0,0.0,0,2004,1236
CO,7,H2CO07063,1,R,34729.0,0.0,135571.0,0.0,1,2004,170300
CO,7,H2CO07048,0,D,27706.0,0.0,106026.0,0.0,0,2004,133732
CO,7,H4CO07028,0,AMC,0.0,0.0,6167.0,0.0,0,2004,6167
