cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes
H4IN01012,2012,,,,,,,,,,,,,760524.72,IN,1,1,D,42219.0,0.0,187743.0,0.0,1,229962.0
H4IN01012,2014,,,,,,,,,,,,,594719.42,IN,1,1,D,34446.0,0.0,86579.0,0.0,1,121025.0
H4IN02051,2012,,,,,,,,,,,,,877108.13,IN,5,0,R,30175.0,0.0,0.0,0.0,0,30175.0
H4IN02101,2010,,,,,,,,,,,,,2032660.57,IN,2,1,DEM,26659.0,0.0,91341.0,0.0,1,118000.0
H4IN02101,2012,,,,,,,,,,,,,5390108.21,,,,,,,,,,
H4IN02101,2014,,,,,,,,,,,,,704461.67,,,,,,,,,,
H4IN04149,2012,,,,,,,,,,,,,2851.18,,,,,,,,,,
H4IN05153,2014,,,,,,,,,,,,,1195.47,IN,5,0,LIB,0.0,0.0,6407.0,0.0,0,6407.0
H4IN07100,2004,,,,,,,,,,,,,2678.22,IN,7,0,R,8764.0,0.0,0.0,0.0,0,8764.0
H4IN07142,2014,,,,,,,,,,,,,3870.01,IN,7,0,R,1872.0,0.0,0.0,0.0,0,1872.0
H4KS03170,2014,,,,,,,,,,,,,7069.97,KS,3,0,D,6524.0,0.0,0.0,0.0,0,6524.0
H4KS04087,2004,,,,,,,,,,,,,303098.26,KS,4,1,R,53202.0,0.0,173151.0,0.0,1,226353.0
H4KY01040,2014,,,,,,,,,,,,,1114368.18,KY,1,1,R,0.0,0.0,173022.0,0.0,1,173022.0
H4KY02030,2004,,,,,,,,,,,,,633805.44,KY,2,1,R,0.0,0.0,185394.0,0.0,1,185394.0
H4KY02030,2006,,,,,,,,,,,,,1965696.41,KY,2,1,REP,0.0,0.0,118548.0,0.0,1,118548.0
H4KY02030,2008,,,,,,,,,,,,,441087.22,,,,,,,,,,
H4KY02030,2010,,,,,,,,,,,,,29078.67,,,,,,,,,,
H4KY06072,2014,,,,,,,,,,,,,-45097.65,,,,,,,,,,
H4LA00016,2006,,,,,,,,,,,,,2409359.3,LA,1,1,REP,0.0,0.0,130508.0,0.0,1,130508.0
