cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,total
S2MO00429,2010,692.93,,,,,,,,,,,,,
H2OK03057,2004,1509.84,,,,,,,,,,,,,
S8OH00011,2004,38636.97,,,,,,,,,,,,,
H4WA05051,2006,6356.80,,,,,,,,,,,,,
H0NY01129,2014,864.84,,,,,,,,,,,,,
S2TN00058,2008,5244.04,,,,,,,,,,,,,
H2WA10014,2014,4270.00,,,,,,,,,,,,,
H6NY20167,2010,4238332.14,,,,,,,,,,,,,
H4NJ11091,2014,70107.27,,,,,,,,,,,,,
H8TN05252,2010,297.76,,,,,,,,,,,,,
H8CA09060,2006,416568.53,,,,,,,,,,,,,
H0OH16089,2010,394.64,,,,,,,,,,,,,
H0AL00016,2010,19831.34,,,,,,,,,,,,,
H6WV01053,2008,24538.74,,,,,,,,,,,,,
H8IN04108,2008,273445.00,,,,,,,,,,,,,
S4OK00174,2010,6008.12,,,,,,,,,,,,,
H2CA37023,2014,835314.12,,,,,,,,,,,,,
H8NM01224,2008,94633.51,,,,,,,,,,,,,
H4SC04044,2004,294.62,,,,,,,,,,,,,
H2NY14037,2006,434225.58,,,,,,,,,,,,,
H0OH06189,2010,242426.31,,,,,,,,,,,,,
H4GA11038,2004,43985.30,,,,,,,,,,,,,
H2CA08164,2012,143340.65,,,,,,,,,,,,,
H2VA04102,2012,11274.27,,,,,,,,,,,,,
H6NC02106,2006,2641.27,,,,,,,,,,,,,
H6PA08194,2010,93620.10,,,,,,,,,,,,,
H6CA07043,2006,79090.00,,,,,,,,,,,,,
H2CO05091,2012,151647.34,,,,,,,,,,,,,
H4CA41138,2014,11250.92,,,,,,,,,,,,,
H4GU00021,2014,15600.00,,,,,,,,,,,,,
H8GA10106,2008,59644.35,,,,,,,,,,,,,
S2ME00109,2012,870517.57,,,,,,,,,,,,,
H2NV04037,2012,129733.75,,,,,,,,,,,,,
H8AL02080,2010,809.77,,,,,,,,,,,,,
S0WA00357,2010,1217.75,,,,,,,,,,,,,
H2AZ07070,2004,382057.34,,,,,,,,,,,,,
S8NE00117,2012,131279.44,,,,,,,,,,,,,
H6CO03139,2014,12132.25,,,,,,,,,,,,,
H2IN04077,2012,597.38,,,,,,,,,,,,,
H0ME02059,2010,162737.75,,,,,,,,,,,,,
H2NY01067,2012,1305.12,,,,,,,,,,,,,
H4NC10070,2004,826.86,,,,,,,,,,,,,
H8OH07081,2008,33673.92,,,,,,,,,,,,,
H6NY19144,2008,42979.33,,,,,,,,,,,,,
H8OH01043,2012,5325.00,,,,,,,,,,,,,
H0NY15103,2012,1785.59,,,,,,,,,,,,,
H8MS03067,2014,779.04,,,,,,,,,,,,,
H6TX14108,2006,157694.06,,,,,,,,,,,,,
H2UT04049,2012,27102.70,,,,,,,,,,,,,
H6TX23141,2006,332826.01,,,,,,,,,,,,,
H8FL22038,2012,4230.01,,,,,,,,,,,,,
H0GA08040,2012,1942.57,,,,,,,,,,,,,
H2PA16063,2012,16364.05,,,,,,,,,,,,,
S0CA00306,2010,139.11,,,,,,,,,,,,,
H8OH02058,2008,107529.39,,,,,,,,,,,,,
H6MI04113,2004,21370.65,,,,,,,,,,,,,
H0TX07055,2014,456905.79,,,,,,,,,,,,,
H6IA02146,2010,3345.94,,,,,,,,,,,,,
H4NJ03080,2004,9539.48,,,,,,,,,,,,,
H2SC04022,2008,219235.11,,,,,,,,,,,,,
H0IL16085,2008,300.00,,,,,,,,,,,,,
H6NY13071,2006,70045.07,,,,,,,,,,,,,
H2IL20042,2006,88016.74,,,,,,,,,,,,,
H0AR01083,2012,6677.81,,,,,,,,,,,,,
H8LA02062,2014,4725.00,,,,,,,,,,,,,
H2LA05084,2010,379788.93,,,,,,,,,,,,,
H0CA35112,2010,5590.32,,,,,,,,,,,,,
H0AZ04493,2010,14584.83,,,,,,,,,,,,,
H0WI08067,2010,11255.47,,,,,,,,,,,,,
H6CA24253,2006,97523.63,,,,,,,,,,,,,
H4CA35031,2014,189729.89,,,,,,,,,,,,,
H2MD06146,2012,159799.01,,,,,,,,,,,,,
H0NV03058,2014,12351.49,,,,,,,,,,,,,
H0IL15053,2004,104468.93,,,,,,,,,,,,,
H0PA03313,2010,120.00,,,,,,,,,,,,,
H0WI05105,2010,33436.00,,,,,,,,,,,,,
H6FL08163,2010,12076.00,,,,,,,,,,,,,
H4CA26097,2006,4227.19,,,,,,,,,,,,,
H8LA02062,2010,800.00,,,,,,,,,,,,,
H6OH13133,2006,600.00,,,,,,,,,,,,,
H4KS03113,2004,33075.70,,,,,,,,,,,,,
H8IL11105,2008,57624.94,,,,,,,,,,,,,
H8LA02054,2010,1560.88,,,,,,,,,,,,,
H6TN01388,2008,101219.65,,,,,,,,,,,,,
H2PA09035,2012,686519.36,,,,,,,,,,,,,
H4LA06088,2014,387312.10,,,,,,,,,,,,,
S8MS00196,2010,15554.00,,,,,,,,,,,,,
H8LA00017,2012,245492.49,,,,,,,,,,,,,
H8KY02049,2008,125961.73,,,,,,,,,,,,,
H4TX24094,2014,155634.30,,,,,,,,,,,,,
H4TX02108,2004,67833.04,,,,,,,,,,,,,
H6IL10119,2008,23815.51,,,,,,,,,,,,,
H4WY00055,2006,4506.83,,,,,,,,,,,,,
H0FL04066,2014,346897.36,,,,,,,,,,,,,
H8CA04152,2014,399044.36,,,,,,,,,,,,,
H8IL01098,2008,17544.64,,,,,,,,,,,,,
H8CA40057,2010,938.00,,,,,,,,,,,,,
H8IL14075,2012,6316.93,,,,,,,,,,,,,
H4NC12100,2014,309028.31,,,,,,,,,,,,,
H2TX19064,2012,214.56,,,,,,,,,,,,,
H6PA11065,2006,377.41,,,,,,,,,,,,,
S8NM00168,2014,23646.70,,,,,,,,,,,,,
H2MN04110,2012,10855.60,,,,,,,,,,,,,
S0PA00491,2012,1153.35,,,,,,,,,,,,,
S0KY00156,2010,7250570.79,,,,,,,,,,,,,
H0NY00063,2012,1686.57,,,,,,,,,,,,,
H8ME01179,2008,195392.60,,,,,,,,,,,,,
H0CA24116,2010,59412.42,,,,,,,,,,,,,
H6WA03135,2004,368130.56,,,,,,,,,,,,,
H8NM01117,2010,600.00,,,,,,,,,,,,,
H8ID01082,2008,8656.92,,,,,,,,,,,,,
S0AK00121,2010,17004.43,,,,,,,,,,,,,
H2MO06202,2014,1732.00,,,,,,,,,,,,,
H0FL10055,2012,1650.02,,,,,,,,,,,,,
H2CA15086,2012,22329.10,,,,,,,,,,,,,
S0NY00410,2008,668969.89,,,,,,,,,,,,,
H8MN03077,2010,2700.00,,,,,,,,,,,,,
H0CO04122,2012,9808.43,,,,,,,,,,,,,
H6AR01106,2006,44144.41,,,,,,,,,,,,,
H4NC10047,2014,2625.44,,,,,,,,,,,,,
H0WA01082,2010,226717.10,,,,,,,,,,,,,
S6OR00094,2006,366.02,,,,,,,,,,,,,
H6MN05225,2008,3260.33,,,,,,,,,,,,,
H4WA03098,2010,1630.00,,,,,,,,,,,,,
H2PA17087,2012,1331.39,,,,,,,,,,,,,
H0SC04224,2010,12749.33,,,,,,,,,,,,,
H2MI17023,2008,6431.76,,,,,,,,,,,,,
H2MA01020,2006,127879.36,,,,,,,,,,,,,
H8OH01043,2008,24538.74,,,,,,,,,,,,,
H2AZ01172,2008,5230.00,,,,,,,,,,,,,
H2CA20094,2012,4413.00,,,,,,,,,,,,,
H2FL12065,2012,7142.78,,,,,,,,,,,,,
H2NC08185,2014,2625.44,,,,,,,,,,,,,
H8CA52078,2008,309114.10,,,,,,,,,,,,,
H2TX14081,2012,150282.75,,,,,,,,,,,,,
H2CA38229,2012,1740.00,,,,,,,,,,,,,
H0MD01174,2010,156052.58,,,,,,,,,,,,,
H0TX14127,2010,4937.90,,,,,,,,,,,,,
H0NV01078,2008,1814.40,,,,,,,,,,,,,
S4OK00174,2004,67833.04,,,,,,,,,,,,,
H2CA26026,2012,3087269.32,,,,,,,,,,,,,
H4OH03055,2004,225918.21,,,,,,,,,,,,,
H2TX00098,2012,12398.91,,,,,,,,,,,,,
H0FL17126,2010,29050.00,,,,,,,,,,,,,
H8IL13127,2008,750.00,,,,,,,,,,,,,
H6FL16059,2008,22335.60,,,,,,,,,,,,,
H4MA05043,2010,5295.59,,,,,,,,,,,,,
S0CA00363,2010,10350.61,,,,,,,,,,,,,
H2CA44128,2006,1621.00,,,,,,,,,,,,,
H6CA24048,2008,47961.44,,,,,,,,,,,,,
S0OH00133,2010,4793.66,,,,,,,,,,,,,
H2TN03128,2014,117754.75,,,,,,,,,,,,,
H4MO08220,2014,1872.13,,,,,,,,,,,,,
S6OR00110,2012,589006.33,,,,,,,,,,,,,
H4VA10113,2014,15440.18,,,,,,,,,,,,,
H4WA08071,2010,5200.00,,,,,,,,,,,,,
H8TN08033,2012,17791.66,,,,,,,,,,,,,
H6CO07023,2008,1109.15,,,,,,,,,,,,,
H8SC02080,2010,3150.00,,,,,,,,,,,,,
H4TX24094,2006,140663.66,,,,,,,,,,,,,
S2IN00109,2012,15.00,,,,,,,,,,,,,
H4NC05138,2014,986.50,,,,,,,,,,,,,
H8CA37079,2006,1140888.44,,,,,,,,,,,,,
H8CA44091,2008,97389.85,,,,,,,,,,,,,
H0NY29054,2014,2038.41,,,,,,,,,,,,,
H2CA23114,2014,89430.35,,,,,,,,,,,,,
H4FL22052,2004,51571.75,,,,,,,,,,,,,
H2NC13110,2012,1636746.80,,,,,,,,,,,,,
H0NC06126,2010,11281.54,,,,,,,,,,,,,
S2NM00088,2008,94633.51,,,,,,,,,,,,,
H4CA37078,2014,2455.25,,,,,,,,,,,,,
H0NY15111,2010,71028.09,,,,,,,,,,,,,
H8CA08062,2014,150.00,,,,,,,,,,,,,
H4NC10047,2014,967078.44,,,,,,,,,,,,,
H4KS03105,2006,16275.25,,,,,,,,,,,,,
H4NC11052,2006,9851.38,,,,,,,,,,,,,
H4WA05077,2014,614071.00,,,,,,,,,,,,,
H4NY07011,2006,236867.24,,,,,,,,,,,,,
H4TX28046,2006,80900.00,,,,,,,,,,,,,
H4IN09072,2014,63589.36,,,,,,,,,,,,,
H0FL08158,2012,36154.69,,,,,,,,,,,,,
H0PA07116,2010,218.25,,,,,,,,,,,,,
H0SD00054,2014,1393538.32,,,,,,,,,,,,,
H2PA05058,2012,1022.27,,,,,,,,,,,,,
H4KS02107,2006,218932.75,,,,,,,,,,,,,
H2PA11106,2012,2600.00,,,,,,,,,,,,,
H4CA33085,2014,1174748.82,,,,,,,,,,,,,
H0WI06061,2014,39816.53,,,,,,,,,,,,,
H2TX21078,2012,17240.56,,,,,,,,,,,,,
H4TX28046,2004,8876.70,,,,,,,,,,,,,
H4WA08105,2006,688.65,,,,,,,,,,,,,
H0CA23126,2010,43985.47,,,,,,,,,,,,,
H2CA39136,2012,243853.03,,,,,,,,,,,,,
H4WA04062,2008,4983.26,,,,,,,,,,,,,
H4MD01077,2004,1088.85,,,,,,,,,,,,,
S2MN00126,2008,31989.29,,,,,,,,,,,,,
